budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7274633972992246,19.0,0.8545281449893423,12.0,0.7249114427860761,18.0
50,0.8156503198294287,10.0,0.8522874972961298,8.0,0.7500656716417968,17.0
50,0.7156339729921887,19.0,0.8356152096659596,14.0,0.7535284938941713,16.0
50,0.7538306325515339,16.0,0.7921923889325342,15.0,0.7475533049040569,16.0
50,0.7746304193319172,15.0,0.8341442786069688,13.0,0.7077434782608765,19.0
50,0.7697046908315619,15.0,0.8018825870646802,15.0,0.6673886756692806,20.0
50,0.7918631840796069,14.0,0.7809771144278648,16.0,0.6368380320619214,22.0
50,0.7294633262260193,18.0,0.8426654584221783,11.0,0.7058566453447119,20.0
50,0.7918378109452785,13.0,0.7989759772565779,14.0,0.7425920398010011,17.0
50,0.7026676616915493,20.0,0.7991247334754834,13.0,0.7493200663349975,19.0
50,0.7311932480454931,18.0,0.7914321250888453,17.0,0.7332967032967097,16.0
50,0.7353902629708662,17.0,0.8437380952380987,12.0,0.7121567164179172,18.0
50,0.7712962331201191,15.0,0.8009425079571117,13.0,0.7004136275146079,20.0
50,0.7257179815209731,18.0,0.8247753437780068,10.0,0.7072099502487632,15.0
50,0.7772413646055489,15.0,0.793961736770695,15.0,0.7620531378196791,17.0
50,0.7698009950248811,14.0,0.79746218905473,14.0,0.7073945532079928,20.0
50,0.7625823027718607,15.0,0.8028037668798897,15.0,0.7116897469175929,19.0
50,0.7645952380952437,15.0,0.8407216773276502,10.0,0.7745348258706519,17.0
50,0.7420069651741354,17.0,0.8475422885572174,12.0,0.8040126036484291,15.0
50,0.6884396588486215,21.0,0.8070585643212543,12.0,0.7744492537313485,14.0
50,0.8119543710021366,13.0,0.8156935323383118,13.0,0.8002880597014971,14.0
50,0.7658415067519599,15.0,0.8165529557183056,11.0,0.7848807327001407,15.0
50,0.795310660980815,13.0,0.8306669509594913,12.0,0.5742764747690225,25.0
50,0.8189643923240981,11.0,0.8454643212508911,9.0,0.7495982942430762,14.0
50,0.8088746268656761,12.0,0.8260378109452766,13.0,0.6846965884861484,17.0
50,0.7577236673774045,16.0,0.8227306325515311,14.0,0.6459109452736405,20.0
50,0.7659914001421521,15.0,0.7936632293080085,15.0,0.7048790491984592,18.0
50,0.7286724946695159,19.0,0.8461379530916869,9.0,0.7739763107539279,13.0
50,0.7349032693674549,17.0,0.7759633673736621,17.0,0.6185645727407012,24.0
50,0.8111532338308503,11.0,0.8730520966595614,7.0,0.6662180999763169,20.0
100,0.7716847576806707,27.0,0.8584874200426466,20.0,0.7413835110163529,31.0
100,0.6557129792408263,45.0,0.8019675294800994,32.0,0.7396656328745943,30.0
100,0.7223253642852994,40.0,0.8263886369020731,27.0,0.7867072062266142,28.0
100,0.7657273686266279,26.0,0.8053772595356588,31.0,0.6847413646055511,40.0
100,0.7598855721393092,33.0,0.8262183872305174,27.0,0.7250796678337951,33.0
100,0.7313352103120823,38.0,0.8542444013697772,23.0,0.6615461265103135,41.0
100,0.7197848152820638,38.0,0.7913634440410597,30.0,0.7399796730632613,32.0
100,0.7666875307258231,32.0,0.7788178730005928,34.0,0.6756632824886634,36.0
100,0.7982657984779706,28.0,0.8029940634767828,31.0,0.7030066808813147,36.0
100,0.7393897366315338,37.0,0.770553670205047,36.0,0.6847844349680243,41.0
100,0.6948352693056528,40.0,0.7709160961540029,34.0,0.6986246268656786,45.0
100,0.7802180493635769,31.0,0.8149522417673573,30.0,0.7049930567124665,40.0
100,0.7254913908645316,37.0,0.8047826492537351,31.0,0.7345936034115201,31.0
100,0.7363398535274003,36.0,0.8236395223297038,27.0,0.7023117513477974,39.0
100,0.7583673269660672,32.0,0.7628612395014224,36.0,0.701033162360035,37.0
100,0.8206791174000172,24.0,0.7865639004391575,33.0,0.698270788912587,36.0
100,0.7542182454505679,32.0,0.8346824989272787,28.0,0.6482494912198671,45.0
100,0.7466594701318641,35.0,0.8229085487198183,23.0,0.6637177295341554,39.0
100,0.7652029396949633,31.0,0.7864923582843402,32.0,0.6569789185938522,38.0
100,0.7149644504749049,40.0,0.8119854609528153,31.0,0.6441085891561682,41.0
100,0.7652585393192197,32.0,0.8157990983933183,28.0,0.6381025041963521,42.0
100,0.7374927783087906,33.0,0.7842644377792098,33.0,0.6990320066335063,36.0
100,0.7345648769141369,36.0,0.7895486577891468,34.0,0.7243286188107149,33.0
100,0.7219716094850489,38.0,0.8071426231935597,30.0,0.7290094509139349,33.0
100,0.7879883536861197,31.0,0.7954665637016421,29.0,0.6597730798893153,40.0
100,0.7698511153998554,31.0,0.8102641820658649,29.0,0.6239794778736755,44.0
100,0.7566870517542217,32.0,0.8204167288557249,28.0,0.6713142172558213,39.0
100,0.7300572159184162,37.0,0.793391257995739,27.0,0.5807453829752438,47.0
100,0.7040773436962722,36.0,0.8067701285240502,29.0,0.7286333333333397,31.0
100,0.7378510228577454,36.0,0.7914346979720156,32.0,0.6652431687715349,38.0
200,0.7423688500590138,64.0,0.7429790547760746,72.0,0.6874368415166996,72.0
200,0.7661019589811855,62.0,0.8211704997752904,57.0,0.6801105344319203,72.0
200,0.7949547797794039,58.0,0.7194767924760236,69.0,0.6589348241020754,80.0
200,0.7274826147971691,79.0,0.8340252443832854,55.0,0.7120955980045349,68.0
200,0.7632224946215576,68.0,0.8343593053906624,58.0,0.6748733632536694,73.0
200,0.7182304038168372,70.0,0.7959895967420788,65.0,0.6826917043412779,73.0
200,0.7175068451463029,71.0,0.8217331317107472,58.0,0.7016692320403684,69.0
200,0.7552913490193203,61.0,0.8004734206951324,64.0,0.6911927607576227,70.0
200,0.7502735207417539,71.0,0.8249036484344524,54.0,0.6264020254206908,82.0
200,0.7582216833074309,65.0,0.7825309337340861,68.0,0.7272661751784313,67.0
200,0.7334374654115144,78.0,0.7822001795080825,59.0,0.7111088311104927,63.0
200,0.7181087445380748,80.0,0.7995798394391715,56.0,0.6466386250453751,80.0
200,0.6939132842243858,80.0,0.800362572921935,64.0,0.6901275750208715,73.0
200,0.7077438999301623,78.0,0.7864641052640957,70.0,0.6432518619026166,80.0
200,0.7649441016808852,69.0,0.7961461007124131,65.0,0.6585550985900084,75.0
200,0.7421904135683629,66.0,0.7869508047995362,69.0,0.6758066094302619,76.0
200,0.7041864358657908,77.0,0.7853357120686401,69.0,0.6984570840703794,84.0
200,0.7469176709489824,66.0,0.7958505193420922,68.0,0.6422404991360299,79.0
200,0.7170347523121143,72.0,0.8349596811302181,49.0,0.6937495778051197,71.0
200,0.7590997916982263,67.0,0.8215314527054861,53.0,0.6865375534912923,71.0
200,0.7568337100733373,69.0,0.792796644397046,67.0,0.6890679971304552,75.0
200,0.6967595195555778,76.0,0.8033985644182005,63.0,0.6705336531346733,73.0
200,0.7216599026512525,72.0,0.7888662327236398,63.0,0.6873899160360619,72.0
200,0.7602056561486958,61.0,0.8102564751066419,61.0,0.6450338818283929,80.0
200,0.7546446565491925,65.0,0.8011450620460954,65.0,0.6766486548277668,74.0
200,0.7111934246224042,79.0,0.8387539581264487,56.0,0.6841034442876482,78.0
200,0.7335402202609307,69.0,0.7820923333925485,62.0,0.6529294188287058,78.0
200,0.7539545887820887,66.0,0.8442882205393921,48.0,0.7031832290516571,69.0
200,0.757091378745278,68.0,0.8339836148389733,50.0,0.6595198997243852,79.0
200,0.7484934501650978,71.0,0.8059607849667489,58.0,0.7014784376857773,69.0
400,0.7385309307520682,128.0,0.766078163011116,126.0,0.6758244918670598,144.0
400,0.7292962855423994,137.0,0.7940669120939263,126.0,0.658399184741175,152.0
400,0.7151513561276936,138.0,0.7830378161797118,121.0,0.6441422057320071,160.0
400,0.7385818911444106,139.0,0.8095805489778104,112.0,0.6539112933376497,153.0
400,0.7061539267796588,142.0,0.7848275354790268,124.0,0.6923014478721445,135.0
400,0.7115307906799159,144.0,0.7969183565986127,127.0,0.6466950107866664,151.0
400,0.7303089316719941,126.0,0.8032703618351508,115.0,0.6421622451843432,152.0
400,0.7585575884519526,138.0,0.8094120198995015,110.0,0.6134707696357709,162.0
400,0.7120004859360152,147.0,0.8025417558348887,117.0,0.6497153394603765,159.0
400,0.7541124583298243,137.0,0.8113581461499353,120.0,0.6798796083195658,146.0
400,0.7177255318126609,143.0,0.7985288389433961,136.0,0.6426726002999089,156.0
400,0.7358503606370126,135.0,0.8183774627895041,125.0,0.6419150497852961,156.0
400,0.7244539471689504,144.0,0.8047293497063815,123.0,0.6609177324642064,148.0
400,0.7162734667042072,156.0,0.7612153277153165,127.0,0.6849443384697823,138.0
400,0.7576976891984324,138.0,0.8266281326159127,121.0,0.6656676616945136,157.0
400,0.7451534907567959,123.0,0.7951021092721999,131.0,0.6514051747430301,152.0
400,0.7396928078961487,138.0,0.7974221740719721,117.0,0.7048179168081686,135.0
400,0.7232355006408294,140.0,0.8054209290693864,117.0,0.6834902327825828,142.0
400,0.7012355810696163,152.0,0.7921949583666266,115.0,0.6591962205744923,150.0
400,0.7355578236111135,140.0,0.8244509882845472,112.0,0.674771141239987,141.0
400,0.7466929685910991,128.0,0.8070476410955568,131.0,0.6439532385051332,155.0
400,0.7181252307752721,162.0,0.7765265117291184,122.0,0.6827112769702348,143.0
400,0.7408244158347661,134.0,0.8248604152587574,119.0,0.6717398402344549,143.0
400,0.7393411351905995,136.0,0.7980951174543902,134.0,0.6501627556043992,153.0
400,0.7529013864484077,137.0,0.8052888591804346,118.0,0.6912874007907206,142.0
400,0.7505025714818772,128.0,0.7918706652441685,119.0,0.6704792710876337,149.0
400,0.7324905420801662,140.0,0.8062460973388522,117.0,0.6194627176507863,162.0
400,0.7206276421361322,153.0,0.8080138838034642,122.0,0.639841931654302,156.0
400,0.7309382747473794,149.0,0.8035244600698894,139.0,0.6588466338714298,146.0
400,0.7422971712808766,145.0,0.8045059327891385,132.0,0.6663843549878141,151.0
800,0.7198364270385441,289.0,0.797534861667846,227.0,0.6784564165227749,283.0
800,0.7138230196413738,293.0,0.797689611728282,267.0,0.6806791904338823,296.0
800,0.7406190545126659,256.0,0.787887281030737,240.0,0.6798716588486533,287.0
800,0.7234145804674645,271.0,0.7933059586682465,234.0,0.6683346083489411,290.0
800,0.7165873188902574,281.0,0.7876018349330252,229.0,0.6467178450388149,308.0
800,0.7254360235671201,259.0,0.8005421621057056,226.0,0.6581669976197921,302.0
800,0.7100824427682451,320.0,0.8013872659552638,230.0,0.6599116266356102,305.0
800,0.7481837021726978,284.0,0.7918807698128351,249.0,0.6483695635246606,305.0
800,0.7256458710620488,285.0,0.7781644592618949,248.0,0.6473299799694836,302.0
800,0.7090889469234065,276.0,0.7810433858761606,232.0,0.6273152474476159,319.0
800,0.6912899828865783,290.0,0.7939232806839461,242.0,0.6450566416483587,295.0
800,0.7178534229440223,278.0,0.8030764081501323,221.0,0.6543835710736945,300.0
800,0.7396697737014123,270.0,0.7972187540307598,234.0,0.6596993648898932,299.0
800,0.7088024710919081,308.0,0.8025706417020677,237.0,0.6507736339649342,308.0
800,0.7340005291520855,255.0,0.7992779280120742,238.0,0.6481826079932989,307.0
800,0.7274171497914625,272.0,0.7919675733487155,253.0,0.6392784308827364,312.0
800,0.7297275384959234,282.0,0.7816102654999425,234.0,0.6429366784357802,311.0
800,0.7199663384997039,274.0,0.7819302379730158,252.0,0.6239459486655299,318.0
800,0.7186046540319868,264.0,0.7881242449476914,236.0,0.6900111063044392,277.0
800,0.7156455376062091,286.0,0.7914686901623651,242.0,0.6658324812679814,295.0
800,0.7182230023263694,273.0,0.8013429018484423,224.0,0.6718899328554134,284.0
800,0.7437765130961109,259.0,0.7723367122429987,264.0,0.6412386412594024,306.0
800,0.7303000266726271,279.0,0.7981164888850588,235.0,0.6480686608768484,303.0
800,0.7144876038836494,275.0,0.7800819126995486,253.0,0.66031296798388,298.0
800,0.7327662156868078,282.0,0.796477074599629,253.0,0.6700707385283563,289.0
800,0.7479189679890919,281.0,0.8102159770256757,247.0,0.6534690957034599,294.0
800,0.7131022163956635,273.0,0.7857410902675876,239.0,0.674387623766541,285.0
800,0.7486270318806629,287.0,0.7985069057343229,224.0,0.6619736573710577,292.0
800,0.7252401322768653,274.0,0.8070931597203274,267.0,0.6569350228485711,298.0
800,0.6969845608584501,288.0,0.7964283581065794,216.0,0.6641240578758567,300.0
